GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0008406	gonad development	4.59e-02	4.59e-02	1	PTPRN,TCF21,INHBA,WNT2B,PDGFRA,SLIT2,KIT,BASP1,SLIT3,ROBO2
GO:0008585	female gonad development	1.10e-02	1.10e-02	1	PTPRN,INHBA,PDGFRA,SLIT2,KIT,SLIT3,ROBO2
GO:0001553	luteinization	6.31e-03	6.31e-03	1	PTPRN,INHBA,PDGFRA
GO:0001554	luteolysis	2.01e-03	2.01e-03	1	SLIT2,SLIT3,ROBO2
GO:0061364	apoptotic process involved in luteolysis	2.01e-03	2.01e-03	1	SLIT2,SLIT3,ROBO2
GO:0061298	retina vasculature development in camera-type eye	1.22e-02	1.22e-02	1	PDGFRB,PDGFRA,CYP1B1,COL4A1
GO:0048017	inositol lipid-mediated signaling	5.33e-03	5.33e-03	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,TWIST1,KDR,PDGFRA,AGT,NTRK2,KIT,IRS1,PDGFD,SELP,F2R
GO:0048015	phosphatidylinositol-mediated signaling	5.00e-03	5.00e-03	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,TWIST1,KDR,PDGFRA,AGT,NTRK2,KIT,IRS1,PDGFD,SELP,F2R
GO:0014065	phosphatidylinositol 3-kinase signaling	7.95e-04	7.95e-04	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,TWIST1,KDR,PDGFRA,AGT,NTRK2,KIT,IRS1,PDGFD,SELP,F2R
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	8.95e-05	8.95e-05	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,TWIST1,KDR,PDGFRA,AGT,NTRK2,KIT,PDGFD,SELP,F2R
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	2.59e-06	2.59e-06	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,KDR,PDGFRA,AGT,NTRK2,KIT,PDGFD,SELP,F2R
GO:0010927	cellular component assembly involved in morphogenesis	2.54e-02	2.54e-02	1	PHLDB1,GPC1,CNTNAP1,PDGFRB,MYH11,PDGFRA,TPM1,PHLDB2,LMOD1,AKAP13
GO:0048009	insulin-like growth factor receptor signaling pathway	1.98e-03	1.98e-03	1	IGF1,GHR,IGFBP5,BMP2,CILP,IGFBP4,IGFBP6,IRS1
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	7.83e-03	7.83e-03	1	IGF1,IGFBP5,BMP2,CILP,IGFBP4,IGFBP6
GO:0043569	negative regulation of insulin-like growth factor receptor signaling pathway	4.48e-02	4.48e-02	1	IGFBP5,BMP2,CILP
GO:0003012	muscle system process	1.73e-02	1.73e-02	1	CACNA1G,IGF1,VIM,PPP1R12B,SORBS1,DMPK,CAV1,ACTA2,PDE4D,KCNJ8,CALD1,EDN2,CNN1,MYH11,AGT,TPM1,CACNA1C,EDNRA,GJA1,ACTG2,LMOD1,HAND2,DAPK3,DES,SPHK1,F2R,GJC1,CACNA1H,SULF2,PLN,ITGA1
GO:0006936	muscle contraction	8.01e-03	8.01e-03	1	CACNA1G,VIM,PPP1R12B,SORBS1,DMPK,CAV1,ACTA2,PDE4D,KCNJ8,CALD1,EDN2,CNN1,MYH11,TPM1,CACNA1C,EDNRA,GJA1,ACTG2,LMOD1,DAPK3,DES,SPHK1,F2R,GJC1,CACNA1H,SULF2,PLN,ITGA1
GO:0006939	smooth muscle contraction	2.85e-02	2.85e-02	1	CAV1,EDN2,CNN1,MYH11,EDNRA,DAPK3,SPHK1,F2R,SULF2
GO:0043491	protein kinase B signaling	2.91e-03	2.91e-03	1	FYN,IGF1,HGF,FGFR3,RASD2,SEMA5A,FGF1,PDGFRB,RTN4,F3,TEK,KDR,PDGFRA,SPRY2,CCL21,THBS1,FGF7,EPHA2,ITGB1,ANGPT1,KIT,IGF2,IRS1,MC1R
GO:0051896	regulation of protein kinase B signaling	6.25e-03	6.25e-03	1	FYN,HGF,FGFR3,RASD2,SEMA5A,FGF1,PDGFRB,RTN4,F3,TEK,PDGFRA,SPRY2,CCL21,THBS1,FGF7,EPHA2,ITGB1,ANGPT1,KIT,IGF2,IRS1,MC1R
GO:0051897	positive regulation of protein kinase B signaling	6.31e-04	6.31e-04	1	FYN,HGF,FGFR3,RASD2,SEMA5A,FGF1,PDGFRB,RTN4,F3,TEK,PDGFRA,SPRY2,CCL21,THBS1,FGF7,ITGB1,ANGPT1,KIT,IGF2,IRS1,MC1R
GO:0035728	response to hepatocyte growth factor	3.22e-02	3.22e-02	1	HGF,BCAR1,ADAMTS12
GO:0035729	cellular response to hepatocyte growth factor stimulus	3.22e-02	3.22e-02	1	HGF,BCAR1,ADAMTS12
GO:0010469	regulation of signaling receptor activity	4.90e-04	4.90e-04	1	CACNG4,SERPINE1,PDE4D,ERRFI1,PLAU,DLG4,APP,ITGB1,ADRA2A,HEYL,GREM1,NLGN2,SOCS5,NOG,DAPK1
GO:0033622	integrin activation	3.73e-03	3.73e-03	1	FERMT2,COL16A1,CXCL12,FN1,FBLIM1,SELP
GO:0033002	muscle cell proliferation	1.48e-02	1.48e-02	1	IGF1,MMP2,OGN,PDGFRB,FOXP1,IGFBP5,TGFB3,BMP4,CNN1,THBS1,TPM1,MEGF10,ANGPT1,PTGIR,NOG,PRKG1,APOD
GO:0048659	smooth muscle cell proliferation	1.50e-02	1.50e-02	1	IGF1,MMP2,OGN,PDGFRB,FOXP1,IGFBP5,TGFB3,BMP4,CNN1,THBS1,TPM1,PTGIR,PRKG1,APOD
GO:0048660	regulation of smooth muscle cell proliferation	1.30e-02	1.30e-02	1	IGF1,MMP2,OGN,PDGFRB,FOXP1,IGFBP5,TGFB3,BMP4,CNN1,THBS1,TPM1,PTGIR,PRKG1,APOD
GO:0048662	negative regulation of smooth muscle cell proliferation	3.61e-02	3.61e-02	1	OGN,IGFBP5,TGFB3,CNN1,TPM1,PTGIR,PRKG1,APOD
GO:0010463	mesenchymal cell proliferation	2.50e-02	2.50e-02	1	CHRD,BMP4,BMP2,FGF7,TGFBR2
GO:1990778	protein localization to cell periphery	3.22e-02	3.22e-02	1	EHD2,EPHA3,GOPC,EFR3B,SORBS1,CAV1,FAM126A,LRP1,DPP6,EPHA2,NKD2,ITGB1,DAB2,PID1,CNPY4,TMEM88,RAB31,TSPAN5,LRRC15,MYADM,RILPL1
GO:1904375	regulation of protein localization to cell periphery	3.22e-02	3.22e-02	1	EPHA3,GOPC,SORBS1,LRP1,EPHA2,NKD2,ITGB1,DAB2,PID1,CNPY4,LRRC15
GO:0072659	protein localization to plasma membrane	2.50e-02	2.50e-02	1	EHD2,EPHA3,GOPC,EFR3B,SORBS1,FAM126A,LRP1,DPP6,EPHA2,NKD2,ITGB1,DAB2,PID1,CNPY4,TMEM88,RAB31,TSPAN5,LRRC15,MYADM,RILPL1
GO:1903076	regulation of protein localization to plasma membrane	1.76e-02	1.76e-02	1	EPHA3,GOPC,SORBS1,LRP1,EPHA2,NKD2,ITGB1,DAB2,PID1,CNPY4,LRRC15
GO:0003357	noradrenergic neuron differentiation	3.22e-02	3.22e-02	1	SOX4,HAND2,SOX11
GO:0035988	chondrocyte proliferation	1.68e-02	1.68e-02	1	FGFR3,HMGA2,DDR2,SIX2
GO:0050886	endocrine process	4.81e-03	4.81e-03	1	C1QTNF3,PCSK5,INHBA,EDN2,RAB11FIP5,AGT,CORIN,C1QTNF1,F2R,MME
GO:0044057	regulation of system process	5.93e-03	5.93e-03	1	CACNA1G,IGF1,PPP1R12B,C1QTNF3,DMPK,CAV1,PDE4D,TSHZ3,INHBA,ITPR2,EDN2,ATP1B2,CNN1,DLG4,RAB11FIP5,AGT,TPM1,APP,CORIN,NLGN4X,CACNA1C,GJA1,HAND2,DAPK3,NLGN2,KCNK3,HSPB7,C1QTNF1,DES,SPHK1,F2R,GJC1,CACNA1H,PLN,AQP1
GO:0044060	regulation of endocrine process	1.68e-02	1.68e-02	1	C1QTNF3,INHBA,RAB11FIP5,AGT,C1QTNF1,F2R
GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal	1.25e-02	1.25e-02	1	PCSK5,PDE4D,EDN2,AGT,TPM1,CORIN,F2R,MME
GO:0001990	regulation of systemic arterial blood pressure by hormone	3.47e-02	3.47e-02	1	PCSK5,EDN2,AGT,CORIN,F2R,MME
GO:1901184	regulation of ERBB signaling pathway	4.89e-02	4.89e-02	1	RHBDF1,RTN4,ERRFI1,AGT,SPRY2,APP,ADRA2A,SPRY1,SOCS5,ITGA1
GO:0007422	peripheral nervous system development	1.49e-02	1.49e-02	1	ETV1,GPC1,CNTNAP1,PMP22,EGR2,SKI,RUNX1
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	3.47e-02	3.47e-02	1	TIMP3,SFRP1,CAV1,INHBA,AGT,THBS1
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	2.22e-02	2.22e-02	1	TIMP3,SFRP1,THBS1
GO:0071774	response to fibroblast growth factor	1.14e-02	1.14e-02	1	SNAI2,GPC1,FGFR3,SFRP1,FGF1,NR4A1,THBS1,FGF7,CREB3L1,SPRED1,EGR3,NOG,FLRT2,SULF2,SPRED2
GO:0044344	cellular response to fibroblast growth factor stimulus	9.75e-03	9.75e-03	1	SNAI2,GPC1,FGFR3,SFRP1,FGF1,NR4A1,THBS1,FGF7,CREB3L1,SPRED1,EGR3,NOG,FLRT2,SULF2,SPRED2
GO:0048008	platelet-derived growth factor receptor signaling pathway	5.78e-04	5.78e-04	1	BCAR1,ABL1,PDGFRB,F3,LRP1,PDGFRA,PTGIR,PDGFD,APOD
GO:0048144	fibroblast proliferation	4.21e-03	4.21e-03	1	IGF1,SFRP1,CDK6,FN1,PDGFRA,AGT,SKI,DDR2,SPHK1,AQP1
GO:0048145	regulation of fibroblast proliferation	3.65e-03	3.65e-03	1	IGF1,SFRP1,CDK6,FN1,PDGFRA,AGT,SKI,DDR2,SPHK1,AQP1
GO:0048146	positive regulation of fibroblast proliferation	1.57e-03	1.57e-03	1	IGF1,CDK6,FN1,PDGFRA,AGT,DDR2,SPHK1,AQP1
GO:0019932	second-messenger-mediated signaling	3.61e-03	3.61e-03	1	IGF1,CALCRL,INPP5A,PTHLH,JPH4,RASD2,DMPK,PDE4D,PKD2,PLCG1,PTGER2,EDN2,KDR,APLNR,CD36,AGT,THBS1,JPH2,ADRA2A,CACNA1C,PTGIR,VCAM1,AKAP13,RCAN2,SELP,SPHK1,GNG2,PDE2A,MC1R
GO:0019935	cyclic-nucleotide-mediated signaling	3.20e-02	3.20e-02	1	CALCRL,PTHLH,RASD2,PDE4D,PTGER2,APLNR,CD36,THBS1,ADRA2A,PTGIR,AKAP13,GNG2,PDE2A,MC1R
GO:0019934	cGMP-mediated signaling	4.48e-02	4.48e-02	1	CD36,THBS1,PDE2A
GO:0007264	small GTPase mediated signal transduction	1.38e-02	1.38e-02	1	RHOBTB2,IGF1,NGFR,RHOBTB1,RASAL2,ARHGAP28,PLEKHG2,ABL1,SYDE1,CHN2,RASGRF2,DEPDC7,SHC2,RIN2,KRAS,ARHGAP24,RHOB,SLIT2,PLK2,ADRA2A,PDPN,CDC42EP3,COL1A2,DLC1,COL3A1,AKAP13,GPR4,F2R,RASA3,STMN3,LPAR1,ARHGAP23
GO:0051056	regulation of small GTPase mediated signal transduction	1.56e-02	1.56e-02	1	RHOBTB2,IGF1,RHOBTB1,RASAL2,ARHGAP28,PLEKHG2,ABL1,SYDE1,CHN2,RASGRF2,DEPDC7,ARHGAP24,RHOB,SLIT2,DLC1,COL3A1,AKAP13,GPR4,F2R,RASA3,STMN3,LPAR1,ARHGAP23
GO:0001101	response to acid chemical	1.09e-02	1.09e-02	1	FYN,EPHA3,SFRP1,PTK7,TNFSF4,PKD2,PTGER2,KLF2,KDR,SH3BP4,CD36,CCL21,PID1,FZD7,CAPN2,GNG2,AQP1
GO:1901654	response to ketone	1.49e-03	1.49e-03	1	SFRP1,CAV1,TNFSF4,TGFB3,PTGER2,CCL21,THBS1,SLIT2,SLIT3,GNG2,AQP1
GO:0071229	cellular response to acid chemical	5.18e-03	5.18e-03	1	FYN,EPHA3,SFRP1,PTK7,TNFSF4,PKD2,PTGER2,KLF2,KDR,SH3BP4,PID1,FZD7,CAPN2,GNG2,AQP1
GO:0033993	response to lipid	2.76e-02	2.76e-02	1	TFPI,SNAI2,EPHA3,NGFR,PPAP2A,NEDD4,SFRP1,CAV1,SERPINE1,PTK7,FOXP1,TNFSF4,TCF21,TGFB3,TNFRSF8,PMEPA1,BMP4,PTGER2,SMO,CD36,CCL21,THBS1,TGFB1I1,SLIT2,DAB2,BMP6,PID1,FZD7,RUNX1,TGFBR2,HEYL,TNFRSF10D,SELP,F2R,SLIT3,GNG2,KANK2,AQP1
GO:0070542	response to fatty acid	1.30e-02	1.30e-02	1	SFRP1,TNFSF4,PTGER2,CD36,CCL21,PID1,GNG2
GO:0034694	response to prostaglandin	1.07e-02	1.07e-02	1	SFRP1,TNFSF4,PTGER2,CCL21,GNG2
GO:0034695	response to prostaglandin E	4.28e-03	4.28e-03	1	SFRP1,TNFSF4,PTGER2,CCL21,GNG2
GO:0048545	response to steroid hormone	1.40e-02	1.40e-02	1	TFPI,PPAP2A,NEDD4,SFRP1,CAV1,FOXP1,TCF21,TGFB3,PMEPA1,BMP4,THBS1,TGFB1I1,SLIT2,DAB2,RUNX1,HEYL,SLIT3,KANK2,AQP1
GO:0032870	cellular response to hormone stimulus	4.99e-02	4.99e-02	1	TFPI,BCAR1,NGFR,PPAP2A,NEDD4,SORBS1,SFRP1,CAV1,RARRES2,GHR,FOXP1,TNFSF4,TCF21,NR4A1,PMEPA1,BMP4,PTGER2,TGFB1I1,SLIT2,LATS2,ADRA2A,DAB2,PID1,RUNX1,HEYL,IGF2,RAB31,IRS1,CDK5R1,SLIT3,ROBO2,GNG2,CACNA1H,KANK2,ENPP1,AQP1
GO:0071379	cellular response to prostaglandin stimulus	2.22e-02	2.22e-02	1	SFRP1,TNFSF4,PTGER2,GNG2
GO:0071380	cellular response to prostaglandin E stimulus	8.09e-03	8.09e-03	1	SFRP1,TNFSF4,PTGER2,GNG2
GO:0060322	head development	3.88e-05	3.88e-05	1	GLI2,LAMB1,SMARCA1,CRISPLD2,CDK6,LHX6,SEMA5A,RTN4,TGFB3,CRISPLD1,INHBA,EGR2,BMP4,BMP2,SMO,NES,WNT2B,ZNF365,HSPG2,SLIT2,NLGN4X,NTRK2,FZD1,SKI,SHROOM4,TGFBR2,DLC1,COL3A1,CDK5R1,BASP1,NOG,CLDN5,ROBO2,COL4A1,APOD,PCDH18,FAT4,AQP1
GO:0060324	face development	2.50e-02	2.50e-02	1	CRISPLD2,TGFB3,CRISPLD1,SKI,CLDN5
GO:0010171	body morphogenesis	4.35e-03	4.35e-03	1	PHLDB1,CRISPLD2,TGFB3,CRISPLD1,PHLDB2,SKI,CLDN5
GO:0060323	head morphogenesis	1.68e-02	1.68e-02	1	CRISPLD2,TGFB3,CRISPLD1,SKI,CLDN5
GO:0060325	face morphogenesis	1.07e-02	1.07e-02	1	CRISPLD2,TGFB3,CRISPLD1,SKI,CLDN5
GO:0007417	central nervous system development	2.28e-05	2.28e-05	1	FYN,VCAN,GLI2,CHRD,NRCAM,LAMB1,SMARCA1,DRP2,CDK6,LHX6,CNTNAP1,SEMA5A,RTN4,PKD2,INHBA,EGR2,LRP1,SOX4,BMP4,BMP2,SMO,NES,DCLK1,WNT2B,ZNF365,APP,HSPG2,SLIT2,NLGN4X,NTRK2,SPOCK1,PRDM8,FZD1,ACAN,SKI,SHROOM4,TGFBR2,DLC1,COL3A1,CDK5R1,BASP1,SOX11,NOG,ROBO2,COL4A1,APOD,PCDH18,FAT4,AQP1
GO:0007420	brain development	3.15e-04	3.15e-04	1	GLI2,LAMB1,SMARCA1,CDK6,LHX6,SEMA5A,RTN4,INHBA,EGR2,BMP4,BMP2,SMO,NES,WNT2B,ZNF365,HSPG2,SLIT2,NLGN4X,NTRK2,FZD1,SKI,SHROOM4,TGFBR2,DLC1,COL3A1,CDK5R1,BASP1,NOG,ROBO2,COL4A1,APOD,PCDH18,FAT4,AQP1
GO:0030900	forebrain development	4.14e-04	4.14e-04	1	GLI2,LAMB1,CDK6,LHX6,SEMA5A,RTN4,INHBA,BMP4,BMP2,SMO,WNT2B,SLIT2,NTRK2,SKI,DLC1,COL3A1,ROBO2,FAT4,AQP1
GO:0021537	telencephalon development	1.44e-03	1.44e-03	1	LAMB1,CDK6,LHX6,RTN4,INHBA,BMP4,BMP2,SLIT2,NTRK2,SKI,COL3A1,ROBO2,FAT4,AQP1
GO:0021543	pallium development	3.61e-02	3.61e-02	1	LAMB1,CDK6,LHX6,RTN4,SLIT2,NTRK2,COL3A1,FAT4
GO:0021987	cerebral cortex development	3.88e-02	3.88e-02	1	LAMB1,LHX6,RTN4,SLIT2,NTRK2,COL3A1,FAT4
GO:0040007	growth	3.36e-04	3.36e-04	1	IGF1,BCAR1,KIF26A,FGFR3,EVC,GLI2,NRCAM,ABL1,SFRP1,WFS1,SEMA5A,GHR,FGF1,RTN4,NRP2,INHBA,BMP4,SH3BP4,LRP4,AGT,SEMA7A,FGF7,NKD1,APP,SLIT2,SFRP2,NLGN4X,LRP12,LATS2,SPOCK1,GJA1,MMP14,CDA,DDR2,APBB2,ISLR2,GNG4,S1PR1,SOCS5,SPHK1,BASP1,GAS1,NOG,SLIT3,APOD,DACT3,ENPP1
GO:0016049	cell growth	4.87e-02	4.87e-02	1	IGF1,BCAR1,KIF26A,NRCAM,ABL1,SFRP1,SEMA5A,RTN4,NRP2,INHBA,SH3BP4,AGT,SEMA7A,APP,SLIT2,SFRP2,SPOCK1,GJA1,MMP14,CDA,APBB2,ISLR2,GNG4,SOCS5,SPHK1,SLIT3,DACT3,ENPP1
GO:0048589	developmental growth	1.07e-03	1.07e-03	1	IGF1,FGFR3,EVC,GLI2,NRCAM,ABL1,SEMA5A,GHR,FGF1,RTN4,NRP2,BMP4,LRP4,SEMA7A,FGF7,NKD1,APP,SLIT2,NLGN4X,LATS2,DDR2,ISLR2,S1PR1,BASP1,GAS1,NOG,SLIT3,APOD
GO:0040008	regulation of growth	8.05e-03	8.05e-03	1	IGF1,BCAR1,KIF26A,FGFR3,NRCAM,ABL1,SFRP1,WFS1,SEMA5A,GHR,RTN4,INHBA,BMP4,SH3BP4,AGT,SEMA7A,NKD1,APP,SLIT2,SFRP2,LRP12,LATS2,SPOCK1,GJA1,MMP14,CDA,APBB2,ISLR2,GNG4,SPHK1,BASP1,NOG,SLIT3,DACT3,ENPP1
GO:0001558	regulation of cell growth	3.60e-02	3.60e-02	1	IGF1,BCAR1,KIF26A,NRCAM,ABL1,SFRP1,SEMA5A,RTN4,INHBA,SH3BP4,AGT,SEMA7A,SLIT2,SFRP2,SPOCK1,GJA1,MMP14,CDA,APBB2,ISLR2,GNG4,SPHK1,SLIT3,DACT3,ENPP1
GO:0035265	organ growth	4.89e-02	4.89e-02	1	IGF1,FGFR3,EVC,FGF7,NLGN4X,LATS2,DDR2,S1PR1,BASP1,NOG
GO:0098868	bone growth	4.48e-02	4.48e-02	1	FGFR3,EVC,DDR2
GO:0003416	endochondral bone growth	2.22e-02	2.22e-02	1	FGFR3,EVC,DDR2
GO:0045926	negative regulation of growth	1.67e-02	1.67e-02	1	FGFR3,SFRP1,SEMA5A,RTN4,INHBA,BMP4,SH3BP4,NKD1,SLIT2,SFRP2,GJA1,CDA,APBB2,GNG4,NOG,SLIT3,DACT3,ENPP1
GO:0030308	negative regulation of cell growth	3.02e-02	3.02e-02	1	SFRP1,SEMA5A,RTN4,INHBA,SH3BP4,SLIT2,SFRP2,GJA1,CDA,APBB2,GNG4,SLIT3,DACT3,ENPP1
GO:0060560	developmental growth involved in morphogenesis	1.97e-02	1.97e-02	1	NRCAM,ABL1,SEMA5A,FGF1,RTN4,NRP2,BMP4,SEMA7A,NKD1,APP,SLIT2,ISLR2,S1PR1,SLIT3
GO:0050901	leukocyte tethering or rolling	2.99e-02	2.99e-02	1	CXCL12,CCL21,ITGB1,VCAM1,SELP
GO:0033687	osteoblast proliferation	4.69e-02	4.69e-02	1	SFRP1,BMP2,CYR61,GREM1,TMEM119
GO:0033688	regulation of osteoblast proliferation	3.50e-02	3.50e-02	1	SFRP1,BMP2,CYR61,GREM1,TMEM119
GO:0033690	positive regulation of osteoblast proliferation	2.22e-02	2.22e-02	1	BMP2,CYR61,TMEM119
GO:0032963	collagen metabolic process	4.47e-07	4.47e-07	1	MRC2,VIM,TRAM2,FAP,MMP2,MMP11,COL1A1,TGFB3,BMP4,COL5A1,CTSK,ITGB1,MMP14,CREB3L1,MFAP4,TNXB,F2R,COL15A1
GO:0030574	collagen catabolic process	1.98e-03	1.98e-03	1	MRC2,FAP,MMP2,MMP11,CTSK,ITGB1,MMP14,COL15A1
GO:0032964	collagen biosynthetic process	1.98e-03	1.98e-03	1	VIM,TRAM2,COL1A1,TGFB3,BMP4,COL5A1,CREB3L1,F2R
GO:0010712	regulation of collagen metabolic process	1.27e-03	1.27e-03	1	VIM,FAP,TGFB3,BMP4,ITGB1,CREB3L1,MFAP4,F2R
GO:0010714	positive regulation of collagen metabolic process	7.97e-03	7.97e-03	1	VIM,TGFB3,BMP4,CREB3L1,F2R
GO:0032967	positive regulation of collagen biosynthetic process	7.97e-03	7.97e-03	1	VIM,TGFB3,BMP4,CREB3L1,F2R
GO:0031623	receptor internalization	9.36e-03	9.36e-03	1	CALCRL,NEDD4,CAV1,SFRP4,LRP1,DLG4,CD36,ITGB1,ANGPT1,GREM1,RAB31
GO:0007435	salivary gland morphogenesis	4.48e-02	4.48e-02	1	SNAI2,HGF,TGFB3
GO:0070371	ERK1 and ERK2 cascade	2.74e-04	2.74e-04	1	IGF1,FLT4,FGFR3,FBLN1,SEMA6A,TIMP3,PDGFRB,FN1,CTGF,TEK,BMP2,KDR,PDGFRA,CD36,SPRY2,CCL21,EMILIN1,SEMA7A,APP,EPHA2,CYR61,ANGPT1,CAMK2N1,SPRY1,HAND2,NPNT,PDGFD,F2R,PLA2G2A,CCL14
GO:0070372	regulation of ERK1 and ERK2 cascade	2.47e-04	2.47e-04	1	FLT4,FGFR3,FBLN1,SEMA6A,TIMP3,PDGFRB,FN1,CTGF,TEK,BMP2,KDR,PDGFRA,CD36,SPRY2,CCL21,EMILIN1,SEMA7A,APP,EPHA2,CYR61,ANGPT1,CAMK2N1,SPRY1,HAND2,NPNT,PDGFD,F2R,PLA2G2A,CCL14
GO:0043410	positive regulation of MAPK cascade	5.20e-03	5.20e-03	1	IGF1,FLT4,FGFR3,IL11,GADD45B,GHR,FGF1,PDGFRB,CTGF,TEK,BMP4,BMP2,TNFRSF19,KDR,LIF,EDA2R,PDGFRA,CD36,SPRY2,CCL21,THBS1,SEMA7A,APP,NTRK2,ADRA2A,ANGPT1,FZD7,KIT,HAND2,IGF2,NPNT,PDGFD,SH3RF3,F2R,PLA2G2A,LPAR1,PJA2,CCL14
GO:0070374	positive regulation of ERK1 and ERK2 cascade	6.91e-03	6.91e-03	1	FLT4,FGFR3,PDGFRB,CTGF,TEK,BMP2,KDR,PDGFRA,CD36,SPRY2,CCL21,SEMA7A,APP,ANGPT1,HAND2,NPNT,PDGFD,F2R,PLA2G2A,CCL14
GO:0000188	inactivation of MAPK activity	2.99e-02	2.99e-02	1	CAV1,RGS4,DUSP1,SPRED1,SPRED2
GO:0007389	pattern specification process	1.04e-03	1.04e-03	1	CYP26B1,GLI2,CHRD,PCSK5,SFRP1,MDFI,PKD2,BMP4,BMP2,SMO,WNT2B,LRP4,NKD1,CRB2,SKI,NBL1,TGFBR2,GREM1,SIX2,SOSTDC1,BASP1,NOG,ROBO2
GO:0003002	regionalization	3.00e-05	3.00e-05	1	CYP26B1,GLI2,CHRD,PCSK5,SFRP1,MDFI,BMP4,BMP2,SMO,WNT2B,LRP4,NKD1,CRB2,SKI,NBL1,GREM1,SIX2,SOSTDC1,BASP1,NOG,ROBO2
GO:0009952	anterior/posterior pattern specification	3.06e-02	3.06e-02	1	PCSK5,BMP4,BMP2,NKD1,CRB2,SKI,SIX2,BASP1,NOG
GO:0009953	dorsal/ventral pattern formation	1.33e-03	1.33e-03	1	GLI2,CHRD,SFRP1,MDFI,LRP4,NBL1,GREM1,SOSTDC1,NOG
GO:0048262	determination of dorsal/ventral asymmetry	4.48e-02	4.48e-02	1	NBL1,GREM1,SOSTDC1
GO:0048263	determination of dorsal identity	3.22e-02	3.22e-02	1	NBL1,GREM1,SOSTDC1
GO:0051098	regulation of binding	3.55e-02	3.55e-02	1	IGF1,CRMP1,BAMBI,ABL1,CAV1,MDFI,TWIST1,LRP1,BMP4,BMP2,SMO,NES,CD36,APP,HMGA2,DAB2,SKI,GPSM1,HAND2,HEY1,DACT1,SOX11,NOG,PLN
GO:0051099	positive regulation of binding	4.85e-02	4.85e-02	1	IGF1,BAMBI,ABL1,CAV1,TWIST1,LRP1,BMP4,BMP2,APP,HMGA2,SKI,GPSM1,HAND2,DACT1
