GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0015749	monosaccharide transmembrane transport	3.22e-02	3.22e-02	1	IGF1,SLC2A3,NGFR,SORBS1,RARRES2,SLC2A1,EDNRA,PID1,IRS1,SLC2A10,ENPP1
GO:0008645	hexose transmembrane transport	2.86e-02	2.86e-02	1	IGF1,SLC2A3,NGFR,SORBS1,RARRES2,SLC2A1,EDNRA,PID1,IRS1,SLC2A10,ENPP1
GO:1904659	glucose transmembrane transport	1.93e-02	1.93e-02	1	IGF1,SLC2A3,NGFR,SORBS1,RARRES2,SLC2A1,EDNRA,PID1,IRS1,SLC2A10,ENPP1
GO:0046323	glucose import	3.32e-02	3.32e-02	1	IGF1,NGFR,SORBS1,RARRES2,PID1,IRS1,SLC2A10,ENPP1
GO:0010827	regulation of glucose transmembrane transport	4.71e-02	4.71e-02	1	IGF1,NGFR,SORBS1,RARRES2,SLC2A1,PID1,IRS1,ENPP1
GO:0046324	regulation of glucose import	3.88e-02	3.88e-02	1	IGF1,NGFR,SORBS1,RARRES2,PID1,IRS1,ENPP1
GO:0044381	glucose import in response to insulin stimulus	7.97e-03	7.97e-03	1	NGFR,SORBS1,RARRES2,PID1,IRS1
GO:2001273	regulation of glucose import in response to insulin stimulus	7.97e-03	7.97e-03	1	NGFR,SORBS1,RARRES2,PID1,IRS1
GO:0007266	Rho protein signal transduction	1.86e-02	1.86e-02	1	NGFR,ABL1,RHOB,ADRA2A,PDPN,CDC42EP3,COL1A2,DLC1,COL3A1,AKAP13,GPR4,F2R,LPAR1
GO:0035728	response to hepatocyte growth factor	3.22e-02	3.22e-02	1	HGF,BCAR1,ADAMTS12
GO:0035729	cellular response to hepatocyte growth factor stimulus	3.22e-02	3.22e-02	1	HGF,BCAR1,ADAMTS12
GO:0042063	gliogenesis	4.77e-03	4.77e-03	1	GPC1,LAMB1,CDK6,CNTNAP1,RTN4,LRP1,SOX4,BMP2,ZNF365,APP,PRDM8,SKI,MXRA8,SOX11,NOG
GO:0010001	glial cell differentiation	2.02e-03	2.02e-03	1	GPC1,CDK6,CNTNAP1,LRP1,SOX4,BMP2,ZNF365,APP,PRDM8,SKI,MXRA8,SOX11,NOG
GO:0021782	glial cell development	3.20e-03	3.20e-03	1	CDK6,CNTNAP1,LRP1,SOX4,APP,PRDM8,SKI,MXRA8,SOX11
GO:0010644	cell communication by electrical coupling	4.35e-03	4.35e-03	1	CAV1,PDE4D,ATP1B2,CACNA1C,GJA1,GJC1,GJC2
GO:0086064	cell communication by electrical coupling involved in cardiac conduction	9.65e-03	9.65e-03	1	CAV1,PDE4D,ATP1B2,CACNA1C,GJA1,GJC1
GO:1990778	protein localization to cell periphery	3.22e-02	3.22e-02	1	EHD2,EPHA3,GOPC,EFR3B,SORBS1,CAV1,FAM126A,LRP1,DPP6,EPHA2,NKD2,ITGB1,DAB2,PID1,CNPY4,TMEM88,RAB31,TSPAN5,LRRC15,MYADM,RILPL1
GO:1904375	regulation of protein localization to cell periphery	3.22e-02	3.22e-02	1	EPHA3,GOPC,SORBS1,LRP1,EPHA2,NKD2,ITGB1,DAB2,PID1,CNPY4,LRRC15
GO:0072659	protein localization to plasma membrane	2.50e-02	2.50e-02	1	EHD2,EPHA3,GOPC,EFR3B,SORBS1,FAM126A,LRP1,DPP6,EPHA2,NKD2,ITGB1,DAB2,PID1,CNPY4,TMEM88,RAB31,TSPAN5,LRRC15,MYADM,RILPL1
GO:1903076	regulation of protein localization to plasma membrane	1.76e-02	1.76e-02	1	EPHA3,GOPC,SORBS1,LRP1,EPHA2,NKD2,ITGB1,DAB2,PID1,CNPY4,LRRC15
GO:0002573	myeloid leukocyte differentiation	4.20e-02	4.20e-02	1	FSTL3,CDK6,SH3PXD2A,FOXP1,INHBA,BMP4,LIF,LRRC17,APP,EPHA2,KIT,RUNX1,TGFBR2,FBN1
GO:0048017	inositol lipid-mediated signaling	5.33e-03	5.33e-03	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,TWIST1,KDR,PDGFRA,AGT,NTRK2,KIT,IRS1,PDGFD,SELP,F2R
GO:0048015	phosphatidylinositol-mediated signaling	5.00e-03	5.00e-03	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,TWIST1,KDR,PDGFRA,AGT,NTRK2,KIT,IRS1,PDGFD,SELP,F2R
GO:0014065	phosphatidylinositol 3-kinase signaling	7.95e-04	7.95e-04	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,TWIST1,KDR,PDGFRA,AGT,NTRK2,KIT,IRS1,PDGFD,SELP,F2R
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	8.95e-05	8.95e-05	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,TWIST1,KDR,PDGFRA,AGT,NTRK2,KIT,PDGFD,SELP,F2R
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	2.59e-06	2.59e-06	1	DCN,IGF1,HGF,NEDD4,UNC5B,PDGFRB,TEK,KDR,PDGFRA,AGT,NTRK2,KIT,PDGFD,SELP,F2R
GO:0048144	fibroblast proliferation	4.21e-03	4.21e-03	1	IGF1,SFRP1,CDK6,FN1,PDGFRA,AGT,SKI,DDR2,SPHK1,AQP1
GO:0048145	regulation of fibroblast proliferation	3.65e-03	3.65e-03	1	IGF1,SFRP1,CDK6,FN1,PDGFRA,AGT,SKI,DDR2,SPHK1,AQP1
GO:0048146	positive regulation of fibroblast proliferation	1.57e-03	1.57e-03	1	IGF1,CDK6,FN1,PDGFRA,AGT,DDR2,SPHK1,AQP1
GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	2.68e-02	2.68e-02	1	SNAI2,TWIST1,SNAI1,SPRED1,HIC1,SPRED2
GO:0043068	positive regulation of programmed cell death	2.91e-03	2.91e-03	1	MARK4,NGFR,FAP,PLEKHG2,ABL1,GADD45B,TIMP3,SFRP1,BNIP3L,CAV1,SFRP4,SEPT4,RASGRF2,F3,TGFB3,TNFRSF8,INHBA,PLCG1,PTGIS,SOX4,BMP4,BMP2,AGT,THBS1,CYP1B1,ADAMTSL4,RHOB,SLIT2,SFRP2,HMGA2,ITGB1,LATS2,DLC1,DAPK3,AKAP13,SOX7,CDK5R1,F2R,DAPK1,TGM2,MLLT11,PNMA2,ECSCR
GO:0043065	positive regulation of apoptotic process	4.06e-03	4.06e-03	1	NGFR,FAP,PLEKHG2,ABL1,GADD45B,TIMP3,SFRP1,BNIP3L,CAV1,SFRP4,SEPT4,RASGRF2,F3,TGFB3,TNFRSF8,INHBA,PLCG1,PTGIS,SOX4,BMP4,BMP2,AGT,THBS1,CYP1B1,ADAMTSL4,RHOB,SLIT2,SFRP2,HMGA2,ITGB1,LATS2,DLC1,DAPK3,AKAP13,SOX7,CDK5R1,F2R,DAPK1,TGM2,MLLT11,PNMA2,ECSCR
GO:0033002	muscle cell proliferation	1.48e-02	1.48e-02	1	IGF1,MMP2,OGN,PDGFRB,FOXP1,IGFBP5,TGFB3,BMP4,CNN1,THBS1,TPM1,MEGF10,ANGPT1,PTGIR,NOG,PRKG1,APOD
GO:0048659	smooth muscle cell proliferation	1.50e-02	1.50e-02	1	IGF1,MMP2,OGN,PDGFRB,FOXP1,IGFBP5,TGFB3,BMP4,CNN1,THBS1,TPM1,PTGIR,PRKG1,APOD
GO:0048660	regulation of smooth muscle cell proliferation	1.30e-02	1.30e-02	1	IGF1,MMP2,OGN,PDGFRB,FOXP1,IGFBP5,TGFB3,BMP4,CNN1,THBS1,TPM1,PTGIR,PRKG1,APOD
GO:0048662	negative regulation of smooth muscle cell proliferation	3.61e-02	3.61e-02	1	OGN,IGFBP5,TGFB3,CNN1,TPM1,PTGIR,PRKG1,APOD
